Date,Open,High,Low,Close,Adj Close,Volume
2018-11-08,109.099998,110.690002,107.050003,107.690002,105.736839,1960400
2018-11-09,107.309998,108.489998,106.570000,107.169998,105.226257,1614300
2018-11-12,106.680000,107.110001,104.449997,104.669998,102.771599,1212700
2018-11-13,105.320000,108.400002,105.000000,106.239998,104.313133,1741900
2018-11-14,107.379997,107.820000,105.260002,106.510002,104.578232,1454800
2018-11-15,105.820000,109.980003,105.500000,109.860001,107.867470,2467800
2018-11-16,109.279999,110.940002,109.070000,109.989998,107.995110,1500700
2018-11-19,109.690002,110.190002,106.400002,107.019997,105.078979,928800
2018-11-20,105.000000,107.910004,103.690002,107.260002,105.314636,1920000
2018-11-21,108.510002,108.860001,107.190002,107.370003,105.422638,1198000
2018-11-23,107.099998,111.040001,106.989998,110.279999,108.279854,746600
2018-11-26,111.040001,112.199997,110.610001,111.459999,109.438461,1289400
2018-11-27,110.529999,111.339996,109.419998,110.739998,108.731514,959000
2018-11-28,111.379997,113.650002,110.570000,112.540001,110.498871,1488200
2018-11-29,113.050003,113.430000,111.419998,111.629997,109.605362,1722300
2018-11-30,111.199997,113.160004,110.680000,113.070000,111.019257,1574800
2018-12-03,114.239998,116.480003,113.379997,114.250000,112.177856,2069100
2018-12-04,113.220001,113.760002,108.570000,109.129997,107.150711,1634200
2018-12-06,107.389999,110.279999,106.209999,110.239998,108.240578,1597600
2018-12-07,109.580002,110.480003,104.690002,104.919998,103.017067,1419200
2018-12-10,105.019997,107.379997,103.300003,104.860001,102.958160,1540600
2018-12-11,106.900002,107.870003,103.849998,104.019997,102.133385,1364600
2018-12-12,105.730003,107.279999,104.970001,105.599998,103.684738,965500
2018-12-13,106.120003,106.639999,104.150002,105.070000,103.164352,816800
2018-12-14,104.419998,108.000000,103.809998,107.089996,105.147713,1503600
2018-12-17,106.839996,108.750000,105.489998,106.349998,104.421135,2144500
2018-12-18,107.269997,108.370003,104.940002,105.480003,103.566917,1828300
2018-12-19,105.339996,106.930000,101.430000,101.949997,100.769676,3020600
2018-12-20,98.589996,101.209999,95.059998,97.220001,96.094437,3822200
